Time,FR007:1Y,FR007:2Y,FR007:3Y,FR007:5Y,FR007:7Y,FR007:10Y,国债:1Y,国债:2Y,国债:3Y,国债:5Y,国债:7Y,国债:10Y,国开:1Y,国开:2Y,国开:3Y,国开:5Y,国开:7Y,国开:10Y,口行:1Y,口行:2Y,口行:3Y,口行:5Y,口行:7Y,口行:10Y
2012-08-21,3.1038,3.0735,3.0754,3.0864,3.1214,3.1692,2.5566,2.7987,2.8905,3.0972,3.2796,3.3578,3.0927,3.464,3.6359,3.9054,4.0713,4.1621,2.9688,3.3956,3.5568,3.78,3.9824,4.0594
2012-08-22,3.1964,3.1804,3.1801,3.1874,3.226,3.282,2.5814,2.8201,2.935,3.173,3.3175,3.3935,3.1048,3.4886,3.6609,3.9327,4.0897,4.1721,2.9909,3.4202,3.6121,3.8198,4.0008,4.0873
2012-08-23,3.1403,3.1059,3.1196,3.1131,3.1971,3.2233,2.63,2.8118,2.9254,3.122,3.2913,3.3702,3.14,3.5186,3.67,3.9354,4.0959,4.1811,3.0224,3.4599,3.6199,3.8036,4.0093,4.0973
2012-08-24,3.0944,3.0735,3.0847,3.0935,3.1683,3.2209,2.6275,2.7914,2.9152,3.0614,3.2296,3.3364,3.1126,3.5386,3.656,3.914,4.0843,4.16,3.0264,3.4649,3.5946,3.7763,3.9869,4.0663
2012-08-27,3.1146,3.0919,3.0925,3.103,3.1759,3.2267,2.6412,2.8146,2.9328,3.0715,3.2213,3.3498,3.1329,3.5471,3.6621,3.9108,4.1108,4.1601,3.0264,3.4658,3.6135,3.8024,3.9986,4.0807
2012-08-28,3.0754,3.0528,3.0562,3.0682,3.1586,3.2138,2.6863,2.818,2.9594,3.0816,3.2348,3.3634,3.1486,3.5571,3.6771,3.9608,4.1108,4.2097,3.0664,3.4728,3.6018,3.7977,4.0167,4.0807
2012-08-29,3.0986,3.0701,3.0704,3.0904,3.1716,3.2268,2.6963,2.8408,2.9784,3.0815,3.249,3.3943,3.1498,3.5871,3.7096,3.9637,4.1257,4.2091,3.0612,3.4634,3.618,3.8035,4.0155,4.0707
2012-08-30,3.1101,3.0808,3.0805,3.0885,3.1767,3.2297,2.6917,2.8598,2.9813,3.0971,3.2596,3.3904,3.1499,3.5871,3.7271,3.9647,4.1282,4.2091,3.0757,3.4835,3.6332,3.8032,4.0174,4.0679
2012-08-31,3.1152,3.0853,3.0838,3.0923,3.1723,3.2222,2.6806,2.8629,2.9766,3.1063,3.2572,3.3928,3.1488,3.5945,3.7037,3.9547,4.1438,4.2164,3.0883,3.4881,3.6294,3.8132,4.0169,4.0629
2012-09-03,3.0723,3.0388,3.0362,3.0368,3.144,3.1899,2.6775,2.8523,2.9402,3.0954,3.2609,3.4001,3.1619,3.6113,3.6848,3.9517,4.1218,4.2019,3.1013,3.4881,3.593,3.8037,4.002,4.0631
2012-09-04,2.9735,2.9572,2.9581,2.9612,3.0681,3.1013,2.6251,2.826,2.9041,3.0727,3.2621,3.3836,3.1663,3.5813,3.6915,3.9328,4.1139,4.1932,3.108,3.4695,3.5901,3.7834,3.9942,4.0615
2012-09-05,3.0249,3.0043,3.0035,2.997,3.0882,3.1321,2.6255,2.8203,2.925,3.0762,3.2778,3.3887,3.1667,3.5905,3.6855,3.9485,4.1239,4.1934,3.1205,3.4797,3.5953,3.7968,4.0139,4.0649
2012-09-06,3.0363,3.0087,3.0091,3.0072,3.0905,3.137,2.6155,2.8321,2.9389,3.0761,3.2932,3.3963,3.1792,3.5906,3.7166,3.9562,4.1165,4.1933,3.12,3.4894,3.6083,3.8007,4.0141,4.065
2012-09-07,3.0962,3.0723,3.0824,3.0981,3.1778,3.2311,2.6364,2.8518,2.9879,3.1258,3.3378,3.4162,3.1881,3.5957,3.7599,3.9885,4.1367,4.2148,3.1214,3.5087,3.6332,3.8306,4.0289,4.085
2012-09-10,3.08,3.0786,3.1032,3.13,3.1855,3.2355,2.6475,2.8738,3.0498,3.1826,3.4006,3.4611,3.2073,3.5984,3.8134,4.0385,4.1867,4.2725,3.1145,3.5092,3.6583,3.8702,4.0861,4.1139
2012-09-11,3.0581,3.056,3.1056,3.1438,3.206,3.2579,2.6574,2.9024,3.076,3.203,3.4025,3.4714,3.2066,3.6081,3.8494,4.0585,4.1867,4.2998,3.1144,3.5279,3.6824,3.8811,4.0937,4.1239
2012-09-12,3.12,3.129,3.1792,3.2339,3.2972,3.3524,2.7023,3.0069,3.165,3.2645,3.4406,3.4909,3.231,3.678,3.9482,4.0638,4.253,4.3299,3.1344,3.5542,3.793,3.9222,4.1268,4.1539
2012-09-13,3.1271,3.1322,3.1735,3.2217,3.2794,3.3427,2.7365,3.048,3.1784,3.2689,3.4264,3.4834,3.2937,3.7236,3.9509,4.0902,4.2853,4.3521,3.2243,3.5998,3.7958,3.9383,4.1412,4.1895
2012-09-14,3.2041,3.2029,3.2433,3.3137,3.3756,3.4302,2.7984,3.1032,3.2262,3.3079,3.4721,3.5485,3.3256,3.7802,4.0129,4.1551,4.3082,4.3985,3.2562,3.6427,3.8673,3.9967,4.186,4.2496
2012-09-17,3.2342,3.2388,3.2816,3.3651,3.4249,3.4701,2.7984,3.1059,3.2586,3.3521,3.5065,3.5717,3.3521,3.7897,4.0441,4.1664,4.3332,4.4112,3.2815,3.6522,3.8703,4.0212,4.2022,4.2704
2012-09-18,3.1754,3.1629,3.1923,3.2681,3.3491,3.3995,2.8022,3.0593,3.1967,3.2963,3.4469,3.5216,3.353,3.7651,4.018,4.1668,4.3195,4.3916,3.267,3.6276,3.8385,3.978,4.1937,4.2404
2012-09-19,3.2349,3.2229,3.2422,3.2951,3.3587,3.4122,2.8022,3.0674,3.2096,3.3072,3.4418,3.5166,3.3609,3.7554,4.004,4.1677,4.3195,4.3716,3.2614,3.6179,3.8427,3.9759,4.1884,4.2379
2012-09-20,3.225,3.2024,3.2157,3.2659,3.3379,3.3898,2.8271,3.0547,3.1877,3.2823,3.42,3.5171,3.3535,3.7499,3.9766,4.1606,4.3073,4.3702,3.2743,3.6208,3.8485,3.9813,4.197,4.2479
2012-09-21,3.2468,3.2141,3.2296,3.2562,3.3156,3.3708,2.8401,3.0305,3.1539,3.2806,3.4221,3.4998,3.3665,3.7081,3.9423,4.1597,4.3025,4.3602,3.2833,3.6194,3.8324,3.9549,4.1885,4.2324
2012-09-24,3.2486,3.2184,3.2294,3.2501,3.3078,3.3614,2.8401,3.0317,3.154,3.2891,3.431,3.4956,3.3676,3.7083,3.9613,4.1607,4.3114,4.3655,3.2982,3.6366,3.8437,3.9718,4.1916,4.2357
2012-09-25,3.1763,3.1445,3.1478,3.1767,3.2664,3.3224,2.8485,2.9873,3.0961,3.2434,3.3813,3.4676,3.3827,3.7089,3.9529,4.1475,4.2866,4.3323,3.3033,3.6366,3.8315,3.948,4.1668,4.2177
2012-09-26,3.1279,3.1044,3.1233,3.159,3.2428,3.3029,2.8318,2.921,3.0563,3.1764,3.3536,3.4444,3.3903,3.7104,3.9091,4.1046,4.2508,4.3111,3.2707,3.6067,3.773,3.8898,4.1319,4.1945
2012-09-27,3.1237,3.1074,3.1244,3.1663,3.2378,3.3061,2.8121,2.908,3.0548,3.1495,3.3738,3.4525,3.3955,3.7078,3.8862,4.0746,4.2408,4.2953,3.271,3.5883,3.7832,3.8822,4.1306,4.1797
2012-09-28,3.1177,3.1069,3.1219,3.1721,3.2397,3.2983,2.7921,2.9291,3.0573,3.1719,3.3806,3.4575,3.4055,3.7184,3.8764,4.0802,4.2408,4.3039,3.2644,3.5989,3.791,3.9028,4.1302,4.1785
2012-09-29,3.116,3.1076,3.1233,3.1676,3.2451,3.2988,2.7921,2.9306,3.0665,3.1738,3.3827,3.4574,3.4077,3.7255,3.8981,4.0842,4.243,4.3043,3.2697,3.6148,3.786,3.8879,4.1324,4.1786
2012-10-08,3.157,3.1358,3.1516,3.1974,3.2763,3.3375,2.7845,2.9333,3.0865,3.2033,3.4173,3.4814,3.4158,3.7181,3.9137,4.0961,4.2659,4.3194,3.276,3.617,3.8149,3.9134,4.1518,4.2023
2012-10-09,3.1481,3.1311,3.1489,3.1939,3.2817,3.3518,2.7844,2.9336,3.0906,3.2048,3.4283,3.4921,3.4255,3.7242,3.9181,4.1083,4.2559,4.3208,3.3023,3.6146,3.8004,3.9293,4.1593,4.1915
2012-10-10,3.1675,3.1621,3.1828,3.2269,3.2973,3.3599,2.7644,2.942,3.1014,3.2158,3.4333,3.5036,3.4221,3.7212,3.9284,4.1241,4.2559,4.3344,3.2787,3.6228,3.8142,3.9311,4.166,4.2065
2012-10-11,3.1442,3.1368,3.1718,3.2188,3.2916,3.3529,2.762,2.9419,3.0779,3.2068,3.4314,3.499,3.4222,3.7276,3.9109,4.1181,4.2386,4.3319,3.2715,3.6185,3.8088,3.9151,4.1499,4.1974
2012-10-12,3.1196,3.1169,3.1535,3.2051,3.2802,3.3328,2.7543,2.9409,3.0534,3.184,3.4197,3.4807,3.4007,3.7178,3.8889,4.0981,4.2385,4.3171,3.2565,3.6123,3.7826,3.9045,4.1272,4.1865
2012-10-15,3.1079,3.1202,3.1629,3.2123,3.2891,3.3508,2.7511,2.9189,3.0436,3.1704,3.4229,3.473,3.3849,3.7171,3.8889,4.0947,4.2336,4.3102,3.261,3.6013,3.7711,3.8952,4.1189,4.1827
2012-10-16,3.1025,3.116,3.1708,3.2292,3.3108,3.3677,2.7641,2.9357,3.0355,3.1879,3.4442,3.4903,3.3849,3.7183,3.9202,4.0937,4.251,4.3286,3.2639,3.6151,3.7858,3.9045,4.1358,4.192
2012-10-17,3.1111,3.1321,3.1886,3.2873,3.3392,3.4033,2.8441,2.9577,3.0575,3.1992,3.4514,3.5036,3.408,3.7358,3.8941,4.1112,4.2513,4.3318,3.3039,3.6271,3.7558,3.9282,4.1358,4.2037
2012-10-18,3.1021,3.1301,3.1939,3.3129,3.3702,3.4172,2.8971,2.9589,3.0599,3.2001,3.4681,3.519,3.4143,3.7385,3.885,4.1108,4.2636,4.3426,3.3071,3.6296,3.7558,3.9382,4.1458,4.2145
2012-10-19,3.1017,3.1304,3.1977,3.3146,3.3787,3.4271,2.922,2.9727,3.077,3.2148,3.4723,3.535,3.4135,3.7396,3.9042,4.1087,4.2804,4.3533,3.308,3.6312,3.7562,3.9653,4.1458,4.2193
